height,img_name,label,width,x,y
94,n0239.mha,1,92,776,579
40,n0342.mha,1,27,223,642
84,n0418.mha,1,81,343,510
69,n0538.mha,1,62,599,645
53,n1026.mha,1,60,758,621
67,n0993.mha,1,60,220,497
96,n0373.mha,1,72,631,642
59,n0373.mha,1,48,203,489
56,n0373.mha,1,54,250,498
48,n0497.mha,1,46,338,415
35,n0497.mha,1,37,183,668
46,n0128.mha,1,54,196,691
38,n1101.mha,1,63,260,494
104,n0783.mha,1,98,245,391
78,n0978.mha,1,72,305,504
48,n0535.mha,1,54,396,329
30,n0704.mha,1,29,851,679
34,n0736.mha,1,27,815,745
45,n0690.mha,1,49,129,799
108,n0989.mha,1,121,140,465
49,n0990.mha,1,54,635,300
74,n0474.mha,1,75,192,487
78,n0474.mha,1,76,184,685
78,n0474.mha,1,52,144,762
62,n0034.mha,1,62,812,670
43,n0886.mha,1,41,725,496
54,n0436.mha,1,45,833,375
86,n0602.mha,1,75,401,235
60,n0352.mha,1,64,237,717
45,n0352.mha,1,38,287,593
57,n0352.mha,1,56,326,642
68,n0838.mha,1,52,322,504
72,n0838.mha,1,67,375,309
77,n0471.mha,1,58,537,241
114,n0604.mha,1,86,250,351
23,n0604.mha,1,18,827,685
83,n0766.mha,1,88,757,660
47,n0076.mha,1,47,636,158
65,n0769.mha,1,70,175,655
120,n0726.mha,1,93,320,480
51,n0726.mha,1,47,820,522
37,n1095.mha,1,43,634,233
52,n1095.mha,1,39,612,284
56,n1094.mha,1,60,313,434
51,n0370.mha,1,56,847,460
72,n1012.mha,1,52,136,365
38,n0457.mha,1,25,832,640
36,n0980.mha,1,41,186,281
28,n0725.mha,1,27,757,726
36,n0631.mha,1,55,179,667
73,n0327.mha,1,59,134,764
67,n0282.mha,1,67,718,540
56,n0282.mha,1,56,315,267
65,n0282.mha,1,67,811,593
88,n0288.mha,1,89,277,475
72,n0288.mha,1,61,297,665
27,n1132.mha,1,39,257,700
60,n1132.mha,1,71,166,662
29,n1132.mha,1,42,261,342
49,n0379.mha,1,40,762,356
59,n0139.mha,1,59,212,475
41,n0798.mha,1,38,799,670
99,n0200.mha,1,79,716,381
44,n0200.mha,1,60,171,594
64,n0200.mha,1,62,126,734
43,n0460.mha,1,41,706,389
59,n0309.mha,1,62,351,294
75,n0309.mha,1,61,277,488
25,n1080.mha,1,20,268,488
42,n0505.mha,1,43,276,576
38,n0637.mha,1,35,302,541
46,n0637.mha,1,35,680,271
53,n0637.mha,1,43,755,370
89,n0353.mha,1,70,308,462
60,n0353.mha,1,58,362,407
57,n0384.mha,1,75,722,442
46,n0493.mha,1,49,732,466
65,n0881.mha,1,67,367,251
50,n0873.mha,1,46,383,747
55,n0873.mha,1,60,314,785
89,n0123.mha,1,83,264,587
71,n0123.mha,1,62,131,712
92,n0550.mha,1,97,607,541
58,n0271.mha,1,46,281,639
81,n0969.mha,1,64,332,460
65,n0731.mha,1,49,855,625
43,n0447.mha,1,30,593,333
47,n0194.mha,1,53,179,767
37,n0241.mha,1,33,815,645
51,n0683.mha,1,44,169,523
32,n0629.mha,1,32,875,594
40,n0747.mha,1,32,753,429
114,n0933.mha,1,140,220,251
136,n0933.mha,1,135,207,492
51,n0047.mha,1,36,261,364
60,n0176.mha,1,59,233,509
58,n0514.mha,1,71,234,363
40,n0104.mha,1,34,761,326
34,n0944.mha,1,27,852,581
27,n0944.mha,1,26,191,602
42,n0302.mha,1,36,812,729
70,n0565.mha,1,63,390,663
26,n0627.mha,1,30,783,716
51,n0655.mha,1,71,349,301
78,n0655.mha,1,68,374,346
47,n0336.mha,1,34,780,396
87,n1030.mha,1,69,682,319
56,n0699.mha,1,49,801,464
51,n0951.mha,1,51,180,592
63,n0008.mha,1,60,407,676
45,n0013.mha,1,34,141,720
36,n0102.mha,1,50,844,732
90,n0486.mha,1,95,746,577
44,n0548.mha,1,57,210,697
46,n0548.mha,1,43,868,757
31,n0065.mha,1,36,383,659
44,n0065.mha,1,41,237,672
127,n0531.mha,1,102,634,334
89,n0531.mha,1,76,756,581
75,n0531.mha,1,66,209,503
29,n0056.mha,1,27,853,647
42,n0056.mha,1,48,881,691
94,n1014.mha,1,82,204,310
61,n1014.mha,1,30,183,482
105,n1014.mha,1,94,251,507
54,n0195.mha,1,52,164,556
18,n0563.mha,1,19,833,616
86,n0914.mha,1,72,663,278
78,n0914.mha,1,67,258,524
